t,S,I,R
8.926530669747176,217.0,154.0,129.0
8.93094556666805,217.0,153.0,130.0
8.959711671608888,216.0,154.0,130.0
8.973896765584023,215.0,155.0,130.0
8.974608836486384,214.0,156.0,130.0
8.9774431718605,213.0,157.0,130.0
8.997172744921972,212.0,158.0,130.0
9.006949738666522,211.0,159.0,130.0
9.012961813160333,210.0,160.0,130.0
9.035384003042722,209.0,161.0,130.0
9.051969406274178,208.0,162.0,130.0
9.052557858723135,208.0,161.0,131.0
9.05551577447702,208.0,160.0,132.0
9.062482810615384,208.0,159.0,133.0
9.072246920585009,207.0,160.0,133.0
9.073855019071608,207.0,159.0,134.0
9.082571552446183,207.0,158.0,135.0
9.083012885463017,206.0,159.0,135.0
9.084171219098044,206.0,158.0,136.0
9.090223886095508,205.0,159.0,136.0
9.091027507331304,204.0,160.0,136.0
9.094099892743028,203.0,161.0,136.0
9.104160459458297,203.0,160.0,137.0
9.105269713041345,202.0,161.0,137.0
9.127542851849505,202.0,160.0,138.0
9.129925215103642,201.0,161.0,138.0
9.140590245436353,200.0,162.0,138.0
9.14598299679282,199.0,163.0,138.0
9.150933507968507,198.0,164.0,138.0
9.186140235029471,198.0,163.0,139.0
9.193401692925562,198.0,162.0,140.0
9.202549721455906,197.0,163.0,140.0
9.216231096160275,197.0,162.0,141.0
9.226955323074524,197.0,161.0,142.0
9.228683864498828,196.0,162.0,142.0
9.231500467130475,196.0,161.0,143.0
9.231528495441962,195.0,162.0,143.0
9.231538882645859,194.0,163.0,143.0
9.247633495938011,194.0,162.0,144.0
9.248114072008738,193.0,163.0,144.0
9.270106691479329,192.0,164.0,144.0
9.278441247130646,192.0,163.0,145.0
9.285772047459618,192.0,162.0,146.0
9.291874940634642,191.0,163.0,146.0
9.307720630764258,190.0,164.0,146.0
9.31310211217626,189.0,165.0,146.0
9.320614094204204,188.0,166.0,146.0
9.321174309308066,188.0,165.0,147.0
9.324953246137218,187.0,166.0,147.0
9.331490978899518,186.0,167.0,147.0
9.331631935333109,185.0,168.0,147.0
9.334360262549598,184.0,169.0,147.0
9.33741709669435,183.0,170.0,147.0
9.340517997057121,183.0,169.0,148.0
9.346792984269182,182.0,170.0,148.0
9.35011437440028,181.0,171.0,148.0
9.352796446127561,180.0,172.0,148.0
9.353791550190952,180.0,171.0,149.0
9.367650210774707,179.0,172.0,149.0
9.371063705698871,178.0,173.0,149.0
9.374395193601504,178.0,172.0,150.0
9.374471280006462,177.0,173.0,150.0
9.381852577519334,177.0,172.0,151.0
9.383654735704306,176.0,173.0,151.0
9.390438543936725,176.0,172.0,152.0
9.393206205928648,176.0,171.0,153.0
9.40392551689235,175.0,172.0,153.0
9.410760444052741,175.0,171.0,154.0
9.421482977290324,175.0,170.0,155.0
9.428634534234579,175.0,169.0,156.0
9.441879202432387,175.0,168.0,157.0
9.446061029540212,175.0,167.0,158.0
9.462080195150525,175.0,166.0,159.0
9.474847437434224,174.0,167.0,159.0
9.482708086826094,174.0,166.0,160.0
9.48475262206641,174.0,165.0,161.0
9.499559898165407,173.0,166.0,161.0
9.500234974272919,172.0,167.0,161.0
9.50485032975719,171.0,168.0,161.0
9.521949328204775,170.0,169.0,161.0
9.533313272042339,169.0,170.0,161.0
9.538213998731667,168.0,171.0,161.0
9.550405608316003,168.0,170.0,162.0
9.566496981434105,167.0,171.0,162.0
9.582934342885517,166.0,172.0,162.0
9.588860599570964,165.0,173.0,162.0
9.590368318579598,164.0,174.0,162.0
9.597419082078266,163.0,175.0,162.0
9.619802626550804,163.0,174.0,163.0
9.642289193637465,162.0,175.0,163.0
9.653661232371926,161.0,176.0,163.0
9.656145130273819,160.0,177.0,163.0
9.65726590316801,160.0,176.0,164.0
9.683238700264463,160.0,175.0,165.0
9.702053887454666,159.0,176.0,165.0
9.702620794567276,159.0,175.0,166.0
9.71223192182434,159.0,174.0,167.0
9.720441249932865,159.0,173.0,168.0
9.736067103137568,159.0,172.0,169.0
9.742881186214312,159.0,171.0,170.0
9.743251279656523,159.0,170.0,171.0
9.74773745000615,158.0,171.0,171.0
9.750211103318643,157.0,172.0,171.0
9.753873034587562,157.0,171.0,172.0
9.757612905911174,156.0,172.0,172.0
9.761629919588755,156.0,171.0,173.0
9.786810124777945,155.0,172.0,173.0
9.787539670204033,154.0,173.0,173.0
9.792298568215537,153.0,174.0,173.0
9.80055902471075,152.0,175.0,173.0
9.809624249535082,151.0,176.0,173.0
9.812995683252348,151.0,175.0,174.0
9.829038147623487,150.0,176.0,174.0
9.853212055580173,150.0,175.0,175.0
9.859992674108762,150.0,174.0,176.0
9.869282175885377,150.0,173.0,177.0
9.882007029874964,149.0,174.0,177.0
9.88604006763636,148.0,175.0,177.0
9.893823451602763,148.0,174.0,178.0
9.89454856315097,148.0,173.0,179.0
9.901407588229821,148.0,172.0,180.0
9.902830083832818,148.0,171.0,181.0
9.9203998033991,147.0,172.0,181.0
9.922776349166252,146.0,173.0,181.0
9.928719907863542,145.0,174.0,181.0
9.933498509877142,145.0,173.0,182.0
9.940671881228642,144.0,174.0,182.0
9.954279588841224,144.0,173.0,183.0
9.962261987349045,144.0,172.0,184.0
9.967385599834738,143.0,173.0,184.0
9.983383832076397,142.0,174.0,184.0
9.99032530607964,141.0,175.0,184.0
9.995148874526707,140.0,176.0,184.0
10.012922978852249,139.0,177.0,184.0
10.014126592341107,138.0,178.0,184.0
10.021574551116567,137.0,179.0,184.0
10.022895413895178,137.0,178.0,185.0
10.028893537207468,137.0,177.0,186.0
10.033661333592379,137.0,176.0,187.0
10.039700436916643,137.0,175.0,188.0
10.043729990174826,137.0,174.0,189.0
10.046186943651236,136.0,175.0,189.0
10.0520570470946,136.0,174.0,190.0
10.054614229449722,135.0,175.0,190.0
10.078655709634386,134.0,176.0,190.0
10.087370276703128,134.0,175.0,191.0
10.094453554011066,134.0,174.0,192.0
10.098466993970918,133.0,175.0,192.0
10.099443456280445,132.0,176.0,192.0
10.106928510085117,132.0,175.0,193.0
10.122280704142314,131.0,176.0,193.0
10.124314088631893,131.0,175.0,194.0
10.12756832054237,130.0,176.0,194.0
10.127831451482887,130.0,175.0,195.0
10.137987136711576,130.0,174.0,196.0
10.14066766637148,129.0,175.0,196.0
10.146547833449908,129.0,174.0,197.0
10.148055714119243,128.0,175.0,197.0
10.157412827304348,127.0,176.0,197.0
10.15878305537341,127.0,175.0,198.0
10.16037022083344,126.0,176.0,198.0
10.171916705473983,125.0,177.0,198.0
10.191969985436144,124.0,178.0,198.0
10.196791907238167,124.0,177.0,199.0
10.198902345770534,124.0,176.0,200.0
10.207659777491578,123.0,177.0,200.0
10.22483697397803,123.0,176.0,201.0
10.22631160958775,123.0,175.0,202.0
10.233304442235479,123.0,174.0,203.0
10.240322975790518,122.0,175.0,203.0
10.26184724461337,122.0,174.0,204.0
10.289435522211955,121.0,175.0,204.0
10.30135230993934,120.0,176.0,204.0
10.31980405482814,119.0,177.0,204.0
10.323615884445342,119.0,176.0,205.0
10.342688614340371,119.0,175.0,206.0
10.346801081364122,118.0,176.0,206.0
10.35313153110187,118.0,175.0,207.0
10.361604454133502,118.0,174.0,208.0
10.373567226817858,118.0,173.0,209.0
10.378111975569835,118.0,172.0,210.0
10.3782104236933,118.0,171.0,211.0
10.38085578500869,117.0,172.0,211.0
10.391024192803478,116.0,173.0,211.0
10.394444015164673,115.0,174.0,211.0
10.397195726007494,115.0,173.0,212.0
10.416073199700415,115.0,172.0,213.0
10.426878368309186,114.0,173.0,213.0
10.427610812185053,114.0,172.0,214.0
10.431663444129164,114.0,171.0,215.0
10.43517992891964,113.0,172.0,215.0
10.441912855841885,112.0,173.0,215.0
10.445988775371426,111.0,174.0,215.0
10.451358320599008,111.0,173.0,216.0
10.457343987414108,111.0,172.0,217.0
10.460350305018089,111.0,171.0,218.0
10.46847757920119,111.0,170.0,219.0
10.47066533424587,110.0,171.0,219.0
10.47151938132608,110.0,170.0,220.0
10.498101945890118,110.0,169.0,221.0
10.500321373968456,110.0,168.0,222.0
10.516640823736251,110.0,167.0,223.0
10.530880702646964,110.0,166.0,224.0
10.56249337097993,109.0,167.0,224.0
10.568865595218428,109.0,166.0,225.0
10.586663907831436,108.0,167.0,225.0
10.590752634478074,107.0,168.0,225.0
10.600856447445485,107.0,167.0,226.0
10.607165313598932,106.0,168.0,226.0
10.608655601156826,106.0,167.0,227.0
10.610979750337291,106.0,166.0,228.0
10.615830761427292,105.0,167.0,228.0
10.619675616641892,104.0,168.0,228.0
10.624367514427888,104.0,167.0,229.0
10.630025502370561,104.0,166.0,230.0
10.631350644157386,104.0,165.0,231.0
10.636449357320132,104.0,164.0,232.0
10.643439971208743,103.0,165.0,232.0
10.650227458313344,103.0,164.0,233.0
10.650492494627128,103.0,163.0,234.0
10.653992035815758,103.0,162.0,235.0
10.65563936903913,103.0,161.0,236.0
10.689114916281861,103.0,160.0,237.0
10.749618309502052,102.0,161.0,237.0
10.754284011525353,102.0,160.0,238.0
10.756263737907561,102.0,159.0,239.0
10.761827795033401,102.0,158.0,240.0
10.764811705543442,102.0,157.0,241.0
10.767210121610098,102.0,156.0,242.0
10.775882331541672,102.0,155.0,243.0
10.783665578097706,102.0,154.0,244.0
10.784509798750479,102.0,153.0,245.0
10.790596373944158,102.0,152.0,246.0
10.817067749661975,101.0,153.0,246.0
