t,S,I,R
1.7059233838107997,583,284,133
1.7072254957294433,582,285,133
1.7093873282559613,581,286,133
1.7158701811793788,580,287,133
1.7171152785933224,579,288,133
1.7186210419219534,578,289,133
1.718958997824585,577,290,133
1.7203001143640624,576,291,133
1.720381680245893,575,292,133
1.7235643479643186,574,293,133
1.7240237564190442,573,294,133
1.7295901824697693,573,293,134
1.7298819348565249,573,292,135
1.7302838204100224,572,293,135
1.7354135823072163,571,294,135
1.7365447375649266,570,295,135
1.7380316510913445,570,294,136
1.7397427801144325,569,295,136
1.7404458757624037,568,296,136
1.7407897782143444,567,297,136
1.7422036377950694,567,296,137
1.745559289704204,567,295,138
1.7459793017956915,566,296,138
1.746844216387902,565,297,138
1.7486081079089009,565,296,139
1.7531327233696374,564,297,139
1.7554987561074122,564,296,140
1.756313806960018,563,297,140
1.7571006095394577,562,298,140
1.7630651566261368,561,299,140
1.767725708469319,560,300,140
1.7693166714302568,560,299,141
1.769597875217511,559,300,141
1.7734681745213108,558,301,141
1.780077227588057,557,302,141
1.7800944745417033,556,303,141
1.7809254153727403,555,304,141
1.7822760127643174,555,303,142
1.7837708644061336,554,304,142
1.7846744907883545,553,305,142
1.7867127888561511,552,306,142
1.7898309398159484,552,305,143
1.794577832326239,552,304,144
1.7947842176118836,551,305,144
1.7961500248455484,550,306,144
1.7976218721739303,550,305,145
1.7981705557617276,549,306,145
1.8004146137651238,549,305,146
1.8010833558911692,548,306,146
1.8042859236541773,547,307,146
1.8073598084251,546,308,146
1.8097633347653903,545,309,146
1.815378686272919,544,310,146
1.816332676183636,544,309,147
1.8221318397549555,543,310,147
1.8224562819339833,542,311,147
1.8229584855440466,541,312,147
1.8235962764954652,540,313,147
1.823641208002049,540,312,148
1.824576465691249,540,311,149
1.825909104677497,539,312,149
1.8262114561026488,539,311,150
1.8277256670146855,539,310,151
1.8349242990488286,539,309,152
1.8349703295448712,538,310,152
1.835398416768676,537,311,152
1.836824458540081,537,310,153
1.8386693300956987,536,311,153
1.8391818700527174,535,312,153
1.8398565852726227,534,313,153
1.8405070369774867,533,314,153
1.8416136593603796,533,313,154
1.8504820825494295,532,314,154
1.8511654335239456,531,315,154
1.8518610805516926,530,316,154
1.851934444481058,529,317,154
1.8542936782453867,529,316,155
1.856780225020063,528,317,155
1.857440523348429,527,318,155
1.8594757877595367,526,319,155
1.8622103080904413,525,320,155
1.862327511909555,524,321,155
1.8660910044267442,523,322,155
1.867610439471985,523,321,156
1.8729016929729758,522,322,156
1.8731147456967274,521,323,156
1.8745238795506765,521,322,157
1.875175200019294,520,323,157
1.8764393468884704,519,324,157
1.8788815208082814,519,323,158
1.880066430750215,519,322,159
1.885399199867523,518,323,159
1.8896719382165297,517,324,159
1.8901685433265705,517,323,160
1.89246509808027,516,324,160
1.8954551653194747,515,325,160
1.9006941762687963,515,324,161
1.901425161601189,514,325,161
1.9016963371595077,513,326,161
1.9054361426165325,513,325,162
1.9064174773918328,512,326,162
1.9066194851047313,512,325,163
1.908095874292025,511,326,163
1.909095673950702,510,327,163
1.9092600464909,509,328,163
1.909273786010483,508,329,163
1.9126353184929556,507,330,163
1.917440254658348,507,329,164
1.919369525469628,507,328,165
1.9235560473514124,507,327,166
1.9235717263506396,506,328,166
1.9255461764436659,505,329,166
1.9327124592761584,505,328,167
1.938633978592849,504,329,167
1.942837135354556,503,330,167
1.9437511002053656,502,331,167
1.9440429810445066,501,332,167
1.947301082393828,500,333,167
1.948481535438761,500,332,168
1.9500248768045485,500,331,169
1.9501646977274165,500,330,170
1.9520328961669589,499,331,170
1.9546481959419801,499,330,171
1.9564577200005075,498,331,171
1.958566086396298,497,332,171
1.9595210244015522,496,333,171
1.9598338972655067,496,332,172
1.9635155267556443,495,333,172
1.9635601726476244,494,334,172
1.9642033068524403,493,335,172
1.9643455415757975,492,336,172
1.9649888450919955,491,337,172
1.9653110132070206,491,336,173
1.9672132653661478,490,337,173
1.972673314927625,489,338,173
1.9730947911540435,488,339,173
1.9732492296626338,488,338,174
1.9753715086400199,488,337,175
1.9776785100128909,487,338,175
1.9818091821449293,486,339,175
1.9855277650519072,485,340,175
1.9865796965604818,485,339,176
1.9904616967452884,485,338,177
1.9906430352244657,484,339,177
1.9927494697083146,484,338,178
1.9945870005421142,483,339,178
1.9967199202199797,482,340,178
1.9981905874808268,481,341,178
1.9985383218669146,480,342,178
2.0001071914011566,479,343,178
2.0079445952376003,478,344,178
2.009942782429765,477,345,178
2.0140616769883355,476,346,178
2.014495240393613,475,347,178
2.0146691080994175,475,346,179
2.015351657358962,474,347,179
2.0201246158213277,473,348,179
2.020507797417435,473,347,180
2.021523228157414,473,346,181
2.022466021762566,472,347,181
2.0241959867275776,471,348,181
2.025683718658617,470,349,181
2.0268072433831246,469,350,181
2.0283521071433612,469,349,182
2.033975179661634,468,350,182
2.036300182847707,467,351,182
2.0364281954767987,466,352,182
2.0382946833112348,465,353,182
2.041663508554638,464,354,182
2.0416954374310854,464,353,183
2.043906565114824,463,354,183
2.044541141949411,462,355,183
2.045001097014192,462,354,184
2.0456341521018957,462,353,185
2.049072889231579,461,354,185
2.0523975724465413,460,355,185
2.052447676065467,459,356,185
2.0538169803361948,458,357,185
2.058515962324501,457,358,185
2.0614597655302775,456,359,185
2.0635775593634333,456,358,186
2.0644746230581412,455,359,186
2.0644798714882446,454,360,186
2.0651203135195955,453,361,186
2.068108991605288,453,360,187
2.0682632527148526,453,359,188
2.071607627492577,453,358,189
2.072911267917401,452,359,189
2.084281147927063,452,358,190
2.0855230142749277,451,359,190
2.0879604764303874,450,360,190
2.0893516715752267,449,361,190
2.0899192586371416,448,362,190
2.0918978434999578,447,363,190
2.091900495642641,446,364,190
2.0936245976675028,445,365,190
2.095145351233199,444,366,190
2.0964547150176873,443,367,190
2.09934194018512,442,368,190
2.0996969089474127,442,367,191
2.1002286758031024,441,368,191
2.100262817764974,441,367,192
2.100892508441459,440,368,192
2.106081228573142,439,369,192
2.1077477589678257,438,370,192
2.10931133583155,437,371,192
2.109592361495963,436,372,192
2.1125445711636823,435,373,192
2.1126716723544767,434,374,192
2.1147682805676005,433,375,192
2.1202466968850637,432,376,192
2.1225933943131365,431,377,192
2.126772107619835,430,378,192
2.130048423751221,429,379,192
2.1303187362639195,428,380,192
2.1326536880885065,428,379,193
2.1329950709947596,427,380,193
2.1357968472826436,426,381,193
2.1376196091595325,425,382,193
2.1390034181349145,424,383,193
2.1418129758627393,423,384,193
2.146232908302946,422,385,193
2.1479979132056735,421,386,193
2.152640534751714,421,385,194
2.157747843549981,420,386,194
2.165541824390579,419,387,194
2.165903576054426,419,386,195
2.168074010349443,418,387,195
2.168239846104935,418,386,196
2.1709568742115266,417,387,196
2.1724710263168427,417,386,197
2.1738698347934955,416,387,197
2.17875792855992,415,388,197
2.181305730860299,414,389,197
2.187926349358599,413,390,197
2.194894420990007,412,391,197
2.1976446730274777,411,392,197
2.1983083350425976,410,393,197
2.198478659743391,410,392,198
2.204087405164316,409,393,198
2.2052964871377587,409,392,199
2.205371483242013,409,391,200
2.2071413758627956,408,392,200
2.2098292788370966,408,391,201
2.2100693707123864,407,392,201
2.211626056824807,406,393,201
2.2149710065343307,405,394,201
2.21500698193559,404,395,201
2.2174040326445446,403,396,201
2.220039056306678,402,397,201
2.221241284868619,401,398,201
2.2255040792346352,401,397,202
2.225576504981505,400,398,202
2.227147771540183,399,399,202
2.2273938517252847,398,400,202
2.230089286684523,398,399,203
2.2302914431953282,397,400,203
2.2325582745023733,396,401,203
2.232969960889258,395,402,203
2.2330839261472053,395,401,204
2.2361550248834203,395,400,205
2.239650157311629,394,401,205
2.2414497727321687,394,400,206
2.242972560556714,393,401,206
2.247952272012349,393,400,207
2.251026790839535,392,401,207
2.2510722643913876,391,402,207
2.2544372431546225,391,401,208
2.254469295769406,391,400,209
2.256234701473687,391,399,210
2.256265722068563,391,398,211
2.2565754558265896,391,397,212
2.257599022229215,391,396,213
2.2582667320178498,390,397,213
2.262693896463809,389,398,213
2.268515805901435,388,399,213
2.271945999116748,388,398,214
2.273002147563819,388,397,215
2.2746137981806585,388,396,216
2.2759691916466327,388,395,217
2.276077535463408,388,394,218
2.2763441920538527,388,393,219
2.278100062013985,387,394,219
2.2838023487323693,386,395,219
2.288048099079913,385,396,219
2.2911082038298973,384,397,219
2.292538886646234,384,396,220
2.295227280727587,383,397,220
2.295792121345365,383,396,221
2.295943580880551,382,397,221
2.2995753018308296,381,398,221
2.303049129936835,380,399,221
2.307219458254235,379,400,221
2.3092263110440934,379,399,222
2.315039568613561,379,398,223
2.315063198659283,379,397,224
2.3166707406915896,379,396,225
2.3176279345194226,378,397,225
2.3191501092335547,378,396,226
2.3215636968390663,377,397,226
2.322211753576747,377,396,227
2.322231742414037,376,397,227
2.322241347833243,375,398,227
2.322656222944512,374,399,227
2.3252275100697326,373,400,227
2.3297494233403384,372,401,227
2.3307848566308533,372,400,228
2.3328736950529936,372,399,229
2.3335057558981105,371,400,229
2.3346589451418294,371,399,230
2.3356377347473107,371,398,231
2.339587273328717,370,399,231
2.339631326394336,370,398,232
2.3432055429310825,369,399,232
2.347899545958396,369,398,233
2.3493930611862854,369,397,234
2.3499721221966263,368,398,234
2.3520768529086777,367,399,234
2.353487835909437,366,400,234
2.3574056321683834,365,401,234
2.3583930213249253,364,402,234
2.3659493211008003,364,401,235
2.366085381306369,363,402,235
2.3802719262711585,362,403,235
2.3803065529822494,361,404,235
2.3822204984200934,360,405,235
2.383387210265207,359,406,235
2.3853649808137907,359,405,236
2.387116780705248,358,406,236
2.3875392346850157,357,407,236
2.3897543543827937,356,408,236
2.390059467601326,355,409,236
2.3917265908607686,354,410,236
2.3917686249212506,354,409,237
2.391953261213208,353,410,237
2.398583184093505,353,409,238
2.401569301341123,353,408,239
2.405060323245811,352,409,239
2.4058475209093237,351,410,239
2.4061192725425715,350,411,239
2.4084228382116253,349,412,239
2.408467714099477,348,413,239
2.4089219511782214,347,414,239
2.4112631450701714,347,413,240
2.411763516057179,346,414,240
2.414548080018886,345,415,240
2.4155323020502806,345,414,241
2.416347367105755,344,415,241
2.416375774250333,343,416,241
2.417557893300028,342,417,241
2.4227475303609016,341,418,241
2.4229667826114487,340,419,241
